area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$),city_pos_0,city_pos_1,city_pos_2,city_pos_3,city_pos_4
70,2,1,0,0,0,0,0,1150,59,18,1227,0,0,0,0,1
40,1,1,1,6,1,1,390,2990,0,44,3424,0,0,1,0,0
300,4,6,4,20,1,0,3700,12000,1584,153,17440,0,0,0,0,1
240,3,2,3,0,1,0,0,3500,292,53,3845,0,0,0,0,1
200,4,2,1,7,0,0,850,2550,9,34,3443,1,0,0,0,0
45,1,1,1,5,1,0,500,1631,192,12,2335,1,0,0,0,0
360,4,5,0,1,1,0,4000,6410,2000,82,12490,0,0,0,0,1
40,1,1,1,10,1,1,978,2829,0,33,3840,0,0,0,0,1
100,3,1,0,13,0,0,700,1220,10,17,1947,1,0,0,0,0
42,1,1,2,2,1,1,190,1770,17,26,2003,0,0,1,0,0
250,3,3,2,1,1,0,2200,1700,256,22,4178,0,1,0,0,0
48,1,1,1,2,1,1,505,1600,59,21,2185,0,1,0,0,0
90,3,3,1,10,1,0,1250,3800,147,49,5246,0,0,0,1,0
45,1,2,1,15,1,1,856,3900,150,50,4956,0,0,0,0,1
150,2,3,4,6,1,0,1700,4000,700,52,6452,0,0,0,1,0
60,2,1,0,2,1,0,200,1445,0,19,1664,0,0,0,0,1
31,1,1,0,4,1,0,370,2350,56,30,2806,0,0,0,0,1
210,4,5,4,4,0,0,1650,9000,772,115,11540,0,0,0,0,1
280,3,1,2,0,1,0,0,6000,113,91,6204,0,0,0,0,1
93,2,3,2,9,1,0,663,5500,133,70,6366,0,1,0,0,0
75,3,2,1,9,1,0,340,1800,109,27,2276,0,0,1,0,0
194,3,4,3,0,1,0,0,4000,70,61,4131,0,0,0,0,1
41,1,1,1,6,1,1,523,4000,131,51,4705,0,0,0,0,1
65,1,1,1,8,1,1,2000,5100,250,66,7416,0,0,0,1,0
70,2,1,1,13,1,0,761,2150,67,28,3006,0,0,0,0,1
278,4,5,2,16,1,1,4052,9000,1261,115,14430,0,0,0,0,1
35,1,1,0,5,1,0,306,1521,21,20,1868,0,0,0,1,0
300,4,4,3,2,1,0,2300,6000,417,77,8794,0,1,0,0,0
61,2,1,1,4,1,0,459,1850,0,24,2333,0,0,0,0,1
130,3,2,1,7,1,0,1660,1700,475,22,3857,0,0,0,1,0
80,2,1,1,20,1,0,500,900,90,12,1502,0,0,0,1,0
164,4,4,2,6,0,0,2159,5000,386,64,7609,0,0,0,0,1
220,4,2,3,3,1,0,450,2422,125,33,3030,1,0,0,0,0
45,1,1,0,0,1,0,0,1050,46,16,1112,0,0,0,0,1
108,3,2,2,7,1,0,1290,5600,435,71,7396,0,0,0,0,1
128,1,1,0,4,1,1,418,2100,182,28,2728,1,0,0,0,0
60,1,1,0,10,0,0,450,1800,48,24,2322,0,0,0,1,0
250,4,5,4,6,1,0,2050,9800,998,125,12970,0,0,0,0,1
47,1,1,1,1,0,1,400,2200,0,33,2633,0,0,1,0,0
170,4,3,4,9,0,0,744,2700,296,36,3776,1,0,0,0,0
45,1,1,0,1,0,0,300,1240,0,16,1556,0,0,0,0,1
42,1,1,1,15,1,0,686,3500,123,45,4354,0,0,0,0,1
164,4,4,3,1,1,0,1840,6000,550,77,8467,0,0,0,0,1
70,3,1,1,1,1,0,700,1020,200,13,1933,0,0,0,0,1
100,4,3,1,8,1,0,600,2200,159,33,2992,0,0,1,0,0
64,2,2,2,4,1,1,1300,4500,440,58,6298,0,0,0,0,1
68,2,1,1,3,1,0,320,1200,27,16,1563,1,0,0,0,0
75,2,2,2,14,0,0,620,2500,264,34,3418,1,0,0,0,0
600,4,4,4,9,1,0,7400,8500,3368,108,19380,0,0,0,0,1
63,2,2,0,15,0,0,590,1550,152,20,2312,0,0,0,0,1
145,3,4,3,1,0,0,1200,6000,750,77,8027,0,0,0,0,1
85,2,2,2,3,0,0,1500,2800,292,36,4628,0,0,0,0,1
254,4,4,4,7,1,0,3366,9000,1800,115,14280,0,0,0,0,1
350,4,4,4,0,1,1,1,9000,359,160,9520,0,0,1,0,0
300,4,4,3,0,1,0,0,3500,584,53,4137,0,0,0,0,1
296,4,3,2,0,1,0,0,13500,423,222,14150,1,0,0,0,0
64,2,2,2,8,1,0,450,2800,30,36,3316,0,0,0,0,1
133,3,2,0,6,1,0,813,2957,38,38,3846,0,0,0,0,1
44,1,1,0,7,1,0,350,550,12,7,919,0,1,0,0,0
240,3,4,2,0,1,0,0,3000,250,46,3296,0,1,0,0,0
70,3,2,1,4,1,0,490,2500,8,37,3035,0,0,1,0,0
22,1,1,0,26,1,0,302,2050,45,26,2423,0,0,0,0,1
50,1,1,1,1,1,0,350,950,50,14,1364,0,0,1,0,0
67,3,2,2,4,1,0,600,2200,50,33,2883,0,0,1,0,0
31,1,1,0,6,1,1,430,2300,0,30,2760,0,0,0,0,1
90,2,1,1,1,1,1,850,3468,191,45,4554,0,0,0,1,0
109,3,3,1,1,1,0,2000,3800,300,49,6149,0,0,0,1,0
400,4,2,2,0,0,0,0,2500,74,41,2615,1,0,0,0,0
300,4,5,4,0,1,1,0,14000,1167,211,15380,0,0,0,0,1
284,4,3,3,4,1,0,2340,6000,483,77,8900,0,1,0,0,0
70,2,1,1,3,1,1,360,2400,30,36,2826,0,0,1,0,0
309,4,5,4,7,1,0,2661,6500,682,84,9927,0,0,0,1,0
70,2,1,0,0,1,0,0,2100,134,32,2266,0,0,0,0,1
360,3,4,1,10,1,0,2300,10000,584,127,13010,0,0,0,0,1
30,1,1,1,10,0,0,886,1500,0,20,2406,0,0,0,0,1
80,2,2,2,11,1,0,832,2200,171,28,3231,0,1,0,0,0
133,4,4,3,6,0,0,1500,7000,800,94,9394,1,0,0,0,0
38,1,1,1,14,0,1,1620,2800,279,36,4735,0,0,0,0,1
73,2,2,1,7,1,0,1100,3500,100,45,4745,0,0,0,0,1
155,3,4,2,4,1,0,1500,2000,150,26,3676,0,0,0,0,1
63,2,2,1,15,1,0,357,3200,50,41,3648,0,0,0,0,1
58,2,1,1,1,1,0,0,1400,0,18,1418,0,0,0,0,1
48,1,1,0,9,0,1,377,3450,0,44,3871,0,0,0,0,1
210,3,4,3,7,1,0,1700,2790,834,36,5360,0,0,0,0,1
100,3,2,2,2,1,0,340,1600,183,22,2145,1,0,0,0,0
94,3,2,2,1,1,0,1337,3570,140,46,5093,0,0,0,0,1
94,3,3,2,3,1,1,1220,5010,395,64,6689,0,0,0,0,1
76,3,1,1,4,1,0,1200,2500,267,32,3999,0,0,0,0,1
192,3,3,2,13,1,0,2100,7800,634,99,10630,0,0,0,0,1
217,3,4,3,1,1,0,2884,6500,0,83,9467,0,0,0,0,1
68,2,1,1,5,1,0,610,1400,35,18,2063,0,0,0,0,1
110,3,2,2,2,1,0,1145,2400,247,31,3823,0,0,0,0,1
95,2,2,1,3,1,0,660,1600,164,22,2446,1,0,0,0,0
900,4,6,8,0,1,0,0,15000,4417,226,19640,0,0,0,0,1
34,1,1,0,5,0,0,347,1200,45,16,1608,0,0,0,0,1
192,3,4,3,5,1,0,2000,8000,0,102,10100,0,0,0,0,1
62,2,2,1,9,1,0,350,1800,75,27,2252,0,0,1,0,0
180,3,3,4,0,1,0,0,3700,184,56,3940,0,0,0,0,1
44,1,1,0,3,1,1,350,916,12,12,1290,0,1,0,0,0
100,2,1,1,1,0,0,250,1700,116,23,2089,1,0,0,0,0
140,3,3,1,24,0,0,900,1370,100,18,2388,0,0,0,1,0
170,3,3,3,8,1,1,1570,2800,648,36,5054,0,0,0,0,1
100,3,2,2,0,0,0,0,1600,150,25,1775,0,0,0,0,1
75,3,2,2,4,1,0,652,1600,82,21,2355,0,0,0,0,1
52,2,1,0,2,1,0,200,1200,43,16,1459,0,0,0,1,0
999,5,7,8,0,1,0,0,14000,667,211,14880,0,1,0,0,0
270,4,4,4,8,1,0,2200,7000,1500,89,10790,0,0,0,0,1
50,2,1,1,1,1,0,160,930,60,13,1163,1,0,0,0,0
200,3,3,2,0,1,0,650,2210,184,34,3078,0,1,0,0,0
71,2,2,0,16,1,0,430,1920,100,25,2475,0,0,0,0,1
500,5,4,6,0,1,0,0,13000,250,196,13450,0,0,0,0,1
60,2,1,0,0,1,0,0,1080,94,17,1191,0,0,0,0,1
110,2,1,0,8,1,0,1100,1300,84,17,2501,0,0,0,0,1
210,3,3,4,0,1,0,0,3294,276,50,3620,0,0,0,0,1
220,3,4,3,8,1,0,2021,6000,996,77,9094,0,0,0,0,1
200,3,2,5,0,0,0,0,4000,204,66,4270,1,0,0,0,0
130,3,4,3,2,1,0,2300,4250,502,54,7106,0,0,0,0,1
65,2,2,2,7,1,1,1037,4000,245,51,5333,0,0,0,0,1
96,3,2,2,17,1,0,804,3200,250,41,4295,0,0,0,0,1
660,4,5,5,12,1,1,4800,20000,1750,254,26800,0,0,0,0,1
107,3,2,0,7,1,1,1460,3200,270,42,4972,0,0,0,1,0
105,3,2,0,1,1,0,740,2200,9,29,2978,0,0,0,1,0
100,3,2,0,7,1,0,900,3290,109,43,4342,0,0,0,1,0
287,3,4,4,0,1,1,0,9000,430,136,9566,0,0,0,0,1
24,1,1,0,1,0,1,230,1180,9,15,1434,0,1,0,0,0
22,1,1,0,0,0,0,0,976,0,15,991,0,0,0,0,1
70,1,1,1,0,0,0,0,2529,142,39,2710,0,0,0,0,1
44,1,1,1,2,1,1,250,1500,17,22,1789,0,0,1,0,0
150,3,2,2,0,0,0,0,2500,0,38,2538,0,0,0,0,1
90,1,2,2,9,1,1,998,2900,220,37,4155,0,0,0,0,1
200,4,4,2,8,1,1,3000,2800,830,36,6666,0,0,0,0,1
320,8,4,0,0,1,0,450,10500,350,158,11460,0,0,0,0,1
90,2,1,1,2,0,0,550,1700,110,25,2385,0,0,1,0,0
240,4,4,3,9,1,0,2500,2144,834,28,5506,0,0,0,0,1
154,4,3,3,21,1,0,1684,7000,1020,89,9793,0,0,0,0,1
60,2,2,2,2,1,0,2340,3230,284,41,5895,0,0,0,0,1
101,3,2,0,5,1,0,780,2380,91,31,3282,0,1,0,0,0
140,3,4,2,0,0,0,0,3090,0,55,3145,0,0,1,0,0
500,4,5,8,0,1,0,0,15000,1850,226,17080,0,0,0,0,1
110,3,3,3,4,1,0,1195,2350,687,30,4262,0,0,0,0,1
110,3,3,2,0,1,0,0,4800,50,73,4923,0,0,0,0,1
90,2,2,2,3,1,0,200,2000,84,27,2311,1,0,0,0,0
384,4,6,4,3,0,1,3500,15000,344,191,19040,0,0,0,0,1
57,2,1,1,7,1,0,570,1500,67,20,2157,0,0,0,0,1
160,3,3,2,5,1,1,1650,1500,419,20,3589,0,0,0,0,1
39,1,1,0,8,1,0,330,1250,19,16,1615,0,0,0,0,1
78,1,2,1,4,1,0,0,2290,143,30,2463,0,1,0,0,0
36,1,1,1,0,1,0,0,762,15,14,791,0,0,1,0,0
70,2,1,1,1,1,0,558,1200,0,16,1774,0,1,0,0,0
45,1,1,1,4,0,1,300,3200,0,43,3543,1,0,0,0,0
200,3,4,3,1,1,0,3500,8500,1250,108,13360,0,0,0,0,1
100,3,3,3,0,1,0,0,4300,120,65,4485,0,0,0,0,1
42,1,1,1,14,0,0,0,5000,0,64,5064,0,0,0,0,1
280,4,4,1,1,1,1,3000,8000,292,102,11390,0,0,0,0,1
28,1,1,1,13,0,1,615,2800,42,36,3493,0,0,0,0,1
30,1,1,0,0,0,1,296,1826,30,24,2176,0,0,0,0,1
85,3,2,1,1,1,0,337,1500,88,20,1945,1,0,0,0,0
83,1,1,1,4,0,0,500,1080,59,14,1653,0,1,0,0,0
85,3,2,2,16,1,1,550,3300,150,42,4042,0,1,0,0,0
90,3,2,2,3,1,0,325,1600,105,22,2052,1,0,0,0,0
50,2,1,0,5,1,0,0,900,100,12,1012,1,0,0,0,0
50,1,1,0,8,1,0,600,2900,134,38,3672,0,0,0,1,0
300,3,2,3,0,0,0,0,6700,539,110,7349,1,0,0,0,0
39,1,1,0,7,1,0,350,850,27,13,1240,0,0,1,0,0
750,4,4,6,0,1,0,0,15000,2084,226,17310,0,0,0,0,1
60,2,1,0,1,1,0,222,1100,46,17,1385,0,0,1,0,0
68,2,1,0,4,0,0,750,1250,9,17,2026,0,0,0,1,0
70,2,1,1,0,1,0,230,1250,50,16,1546,0,0,0,0,1
90,2,2,1,6,1,1,900,6500,89,83,7572,0,0,0,0,1
258,5,6,0,0,1,0,0,8700,670,133,9503,0,0,0,1,0
200,2,2,6,0,1,0,0,4500,292,68,4860,0,0,0,0,1
123,2,2,2,6,1,0,1800,2990,625,38,5453,0,0,0,0,1
127,3,2,2,0,1,1,220,2150,67,33,2470,0,0,0,0,1
180,4,2,2,0,1,0,0,1800,210,30,2040,1,0,0,0,0
110,3,2,0,0,0,0,0,2900,384,44,3328,0,0,0,0,1
70,2,2,1,7,1,1,585,1719,77,23,2404,0,0,0,1,0
35,1,1,1,8,1,1,720,3000,130,39,3889,0,0,0,0,1
219,3,2,2,0,1,0,0,2900,150,44,3094,0,0,0,0,1
25,1,1,0,0,1,0,50,700,0,10,760,0,0,0,1,0
170,4,5,0,10,1,0,1200,7100,639,92,9031,0,0,0,1,0
45,1,1,0,8,1,0,900,1570,98,21,2589,0,0,0,1,0
420,4,4,2,0,0,0,0,7000,200,115,7315,1,0,0,0,0
46,1,1,0,4,1,0,0,1040,48,16,1104,0,0,1,0,0
145,3,3,2,1,1,1,1088,5800,250,74,7212,0,0,0,0,1
59,2,2,1,2,1,0,190,1100,59,15,1364,1,0,0,0,0
225,4,3,0,8,1,0,1850,7500,466,100,9916,1,0,0,0,0
210,4,4,3,3,1,0,2270,4675,1110,60,8115,0,0,0,0,1
76,1,1,0,0,1,0,209,1249,52,19,1529,0,0,1,0,0
220,3,4,3,2,0,0,2500,5150,1250,66,8966,0,0,0,0,1
109,3,2,2,7,1,0,1746,2500,134,32,4412,0,0,0,0,1
95,2,1,1,3,1,0,646,1000,120,14,1780,1,0,0,0,0
32,1,1,0,0,0,0,280,1500,50,20,1850,0,0,0,0,1
480,4,6,5,9,1,0,6660,15000,3063,191,24910,0,0,0,0,1
53,1,1,1,3,1,0,694,4390,200,56,5340,0,0,0,0,1
40,1,1,0,0,0,0,0,780,17,12,809,0,0,0,0,1
50,1,1,1,4,1,1,500,3223,100,41,3864,0,0,0,0,1
60,1,1,0,0,1,0,0,1300,255,20,1575,0,0,0,0,1
64,2,2,2,7,0,0,450,1500,50,22,2022,0,0,1,0,0
140,3,3,2,4,1,1,2280,12000,535,155,14970,0,0,0,1,0
121,3,3,1,12,1,0,800,2040,334,26,3200,0,0,0,0,1
43,1,1,1,4,1,1,498,2100,84,27,2709,0,1,0,0,0
20,1,1,1,3,0,1,1700,1360,0,18,3078,0,0,0,0,1
58,2,1,1,3,1,0,289,950,11,13,1263,0,1,0,0,0
570,5,6,7,0,1,1,0,8330,873,137,9340,1,0,0,0,0
88,2,1,1,2,1,0,980,2790,0,36,3806,0,0,0,0,1
89,3,2,2,19,1,0,900,6000,184,77,7161,0,0,0,0,1
40,1,1,0,0,1,0,0,1100,50,17,1167,0,0,0,0,1
40,1,1,0,1,1,1,386,1950,91,26,2453,0,0,0,1,0
60,1,2,1,3,1,0,400,750,80,10,1240,0,0,0,1,0
25,1,1,0,14,1,0,257,1650,0,21,1928,0,0,0,0,1
50,2,1,0,13,1,0,340,1130,30,17,1517,0,0,1,0,0
90,3,1,0,1,1,0,145,1130,55,17,1347,0,0,1,0,0
173,3,3,3,2,1,0,3000,2000,825,26,5851,0,0,0,0,1
91,3,2,2,12,1,0,700,2250,175,29,3154,0,1,0,0,0
90,3,2,2,6,0,0,1710,1200,109,16,3035,0,0,0,0,1
530,5,6,4,2,1,1,8300,15000,5000,191,28490,0,0,0,0,1
40,1,1,0,0,0,0,0,1300,0,17,1317,0,0,0,0,1
296,4,5,3,3,1,0,0,15000,0,191,15190,0,0,0,0,1
87,3,2,1,17,1,0,850,1400,200,18,2468,0,0,0,0,1
300,3,3,5,0,1,0,0,5000,584,76,5660,0,0,0,0,1
136,3,3,3,13,1,0,1430,4206,364,54,6054,0,0,0,0,1
52,2,1,0,4,1,0,0,1340,0,17,1357,0,0,0,0,1
94,2,2,2,8,1,0,600,2900,230,43,3773,0,0,1,0,0
300,4,5,3,7,1,0,3850,12750,750,165,17520,0,0,0,1,0
100,3,3,1,3,1,0,850,3229,100,42,4221,0,0,0,1,0
500,4,6,3,0,1,0,6466,7300,2536,110,16410,0,0,0,0,1
240,3,4,3,3,1,1,3600,4950,1000,63,9613,0,0,0,0,1
308,2,3,3,0,1,0,0,2000,171,33,2204,1,0,0,0,0
350,4,5,4,15,1,1,2700,4590,1334,59,8683,0,0,0,0,1
75,2,2,0,2,1,0,570,1450,0,19,2039,0,0,0,0,1
155,3,2,3,4,1,1,2600,11700,667,149,15120,0,0,0,0,1
260,3,5,4,12,1,0,2227,6000,1468,77,9772,0,0,0,0,1
80,2,2,1,0,0,0,0,1500,184,23,1707,0,0,0,0,1
85,3,1,1,6,1,0,810,1998,87,26,2921,0,0,0,1,0
120,2,2,2,22,0,1,1400,3500,375,45,5320,0,0,0,0,1
100,2,2,1,0,1,0,0,1970,0,30,2000,0,0,0,0,1
240,4,5,4,6,0,0,1869,3500,717,45,6131,0,0,0,0,1
360,7,6,6,0,1,0,0,5270,245,80,5595,0,0,0,0,1
42,1,1,0,0,0,0,0,1100,0,17,1117,0,0,0,0,1
33,1,1,1,14,1,1,600,2800,112,36,3548,0,0,0,0,1
48,1,1,0,1,0,0,626,1020,53,14,1713,0,0,0,1,0
36,1,1,0,5,1,0,350,1130,42,15,1537,0,0,0,1,0
270,6,3,6,0,1,0,0,4500,417,68,4985,0,0,0,0,1
75,2,1,1,2,1,0,670,1200,121,16,2007,0,1,0,0,0
46,2,1,0,3,0,0,270,1600,0,21,1891,0,0,0,1,0
350,3,3,3,0,0,0,0,10000,1292,151,11440,0,0,0,0,1
131,3,3,1,10,1,1,1625,1750,121,26,3522,0,0,1,0,0
90,3,2,1,3,1,0,920,1300,129,17,2366,0,1,0,0,0
26,1,1,0,4,0,0,390,1650,120,22,2182,0,0,0,1,0
44,1,1,0,3,1,1,400,1100,14,15,1529,0,0,0,1,0
70,2,2,0,0,1,0,0,1880,0,29,1909,0,0,0,0,1
40,1,1,0,0,0,0,0,900,0,15,915,1,0,0,0,0
320,4,2,4,0,1,0,0,3200,206,53,3459,1,0,0,0,0
213,2,2,3,0,1,0,0,5150,0,78,5228,0,0,0,0,1
80,2,1,0,1,0,0,0,1100,0,14,1114,0,0,0,0,1
70,1,1,0,6,1,0,500,800,30,11,1341,0,1,0,0,0
60,2,1,1,5,1,0,690,1500,25,20,2235,0,0,0,1,0
270,4,4,4,5,1,0,4500,12850,1834,163,19350,0,0,0,0,1
70,2,1,1,3,1,0,800,1300,44,17,2161,0,0,0,1,0
300,6,2,2,0,1,0,0,6000,242,107,6349,0,0,1,0,0
220,4,5,3,14,1,1,2050,12000,750,153,14950,0,0,0,0,1
64,2,2,2,7,1,0,450,1600,34,24,2108,0,0,1,0,0
80,3,3,1,7,0,0,1100,1470,0,19,2589,0,0,0,1,0
56,1,1,0,9,1,1,625,2500,81,32,3238,0,0,0,0,1
161,4,3,2,1,1,0,1450,10000,467,127,12040,0,0,0,0,1
35,1,1,0,0,1,0,350,1350,0,18,1718,0,0,0,0,1
720,4,6,5,0,1,1,0,12750,2613,192,15560,0,0,0,0,1
280,4,5,4,6,0,0,2500,3200,750,41,6491,0,0,0,0,1
96,3,2,0,2,1,0,408,2100,84,31,2623,0,0,1,0,0
236,3,4,4,10,1,0,1600,11000,440,140,13180,0,1,0,0,0
81,3,2,1,4,1,0,204,1510,0,20,1734,0,0,0,0,1
62,2,1,1,1,1,0,580,1650,92,21,2343,0,0,0,0,1
125,3,2,0,2,1,0,150,1200,69,16,1435,1,0,0,0,0
37,1,1,1,6,1,1,890,4150,110,53,5203,0,0,0,0,1
60,2,2,1,11,1,0,1680,4000,200,51,5931,0,0,0,0,1
230,4,2,3,1,1,0,3600,5000,1551,64,10220,0,0,0,0,1
210,4,5,2,1,1,1,3800,8500,0,108,12410,0,0,0,0,1
450,4,3,8,0,1,0,0,14000,175,211,14390,0,0,0,0,1
234,3,5,4,0,1,1,0,3680,400,56,4136,0,0,0,0,1
135,4,3,2,2,0,0,868,2450,308,33,3659,1,0,0,0,0
395,4,5,3,0,1,0,0,6000,122,91,6213,0,0,0,0,1
92,2,2,1,2,1,0,450,1700,67,25,2242,0,0,1,0,0
412,3,5,6,21,1,0,2000,3952,459,51,6462,0,0,0,0,1
42,1,1,1,27,1,0,560,5300,100,68,6028,0,0,0,0,1
33,1,1,0,12,0,1,385,3000,125,39,3549,0,0,0,0,1
28,2,1,1,0,1,0,0,600,0,11,611,0,0,1,0,0
190,4,4,2,0,0,0,0,4450,223,67,4740,0,0,0,0,1
165,4,3,3,10,1,1,2440,6300,1292,80,10110,0,0,0,0,1
44,1,1,0,5,1,0,355,1200,20,18,1593,0,0,1,0,0
60,2,1,1,4,1,0,603,1275,109,17,2004,0,0,0,0,1
380,3,3,2,1,1,0,3580,11000,1084,140,15800,0,0,0,0,1
73,2,1,0,4,1,0,375,830,120,11,1336,0,0,0,1,0
19,1,1,0,5,1,0,620,1100,85,15,1820,1,0,0,0,0
230,3,5,4,6,1,0,1800,7500,0,96,9396,0,1,0,0,0
37,1,1,1,2,1,0,500,2500,0,37,3037,0,0,1,0,0
124,3,2,3,7,1,0,1450,6600,300,84,8434,0,0,0,0,1
115,3,2,1,8,1,1,1090,2680,114,35,3919,0,0,0,1,0
600,3,3,4,0,1,0,0,5500,384,83,5967,0,1,0,0,0
700,5,5,4,0,1,1,1380,15000,1667,229,18280,0,0,0,1,0
35,1,1,0,1,1,0,100,815,17,12,944,0,0,1,0,0
15,1,1,0,3,0,1,0,1100,0,15,1115,1,0,0,0,0
80,3,2,1,2,1,0,570,1450,125,19,2164,0,1,0,0,0
48,1,1,0,4,1,0,200,700,38,11,949,0,0,1,0,0
96,3,2,1,2,1,0,922,1500,137,20,2579,1,0,0,0,0
150,3,2,1,7,1,1,1843,6715,340,86,8984,0,0,0,0,1
105,3,2,2,2,0,0,1681,3300,390,44,5415,1,0,0,0,0
204,4,4,4,22,0,1,2701,10000,760,134,13600,1,0,0,0,0
125,3,1,2,11,1,0,1317,2600,170,33,4120,0,0,0,1,0
50,2,1,0,3,0,0,490,2300,50,30,2870,0,0,0,1,0
250,3,4,3,0,0,0,0,3740,234,57,4031,0,0,0,0,1
300,3,4,3,7,1,1,3000,2000,1250,26,6276,0,0,0,0,1
80,2,1,1,0,1,0,0,1500,55,23,1578,0,0,0,0,1
130,3,4,1,2,0,0,1200,1400,334,19,2953,0,0,0,1,0
120,2,3,0,2,1,0,904,3300,195,42,4441,0,0,0,0,1
540,3,3,4,9,1,0,6200,15000,3500,191,24890,0,0,0,0,1
23,1,1,0,23,1,0,392,2100,41,27,2560,0,0,0,0,1
15,1,1,0,0,0,1,0,2500,0,32,2532,0,0,0,0,1
72,1,2,2,19,1,0,900,4000,200,51,5151,0,0,0,0,1
95,3,2,2,7,1,0,985,2300,122,30,3437,0,0,0,1,0
330,4,5,4,13,1,0,2870,10000,1119,127,14120,0,0,0,0,1
75,2,2,2,7,0,1,1600,6600,400,84,8684,0,0,0,0,1
53,1,1,1,4,1,0,690,4398,200,56,5344,0,0,0,0,1
178,3,2,1,2,0,0,1200,1900,180,25,3305,0,0,0,0,1
150,3,2,0,0,1,0,0,4000,24,61,4085,0,0,0,0,1
50,2,1,1,4,1,0,520,1200,30,16,1766,0,0,0,0,1
150,3,2,1,0,0,0,0,2500,59,38,2597,0,0,0,0,1
25,1,1,0,0,1,1,286,984,11,15,1296,0,0,1,0,0
210,3,4,4,13,0,0,3150,12000,1155,153,16460,0,0,0,0,1
75,3,2,1,4,1,0,600,1500,75,20,2195,1,0,0,0,0
200,2,4,3,12,1,0,1897,15000,827,200,17920,1,0,0,0,0
350,4,4,0,0,1,0,0,8000,989,121,9110,0,0,0,0,1
49,2,1,1,7,1,0,360,1150,30,17,1557,0,0,1,0,0
40,1,1,0,4,0,1,0,2000,0,30,2030,0,0,1,0,0
45,1,1,1,2,0,1,1900,4200,350,54,6504,0,0,0,0,1
46,1,1,1,8,0,1,900,7600,118,97,8715,0,0,0,0,1
80,2,2,2,15,1,0,2000,11000,0,140,13140,0,0,0,0,1
30,1,1,0,3,1,1,400,2850,0,37,3287,0,0,0,0,1
80,2,2,2,0,1,0,50,2200,173,34,2457,0,0,0,0,1
105,2,2,1,10,1,0,1780,1530,134,20,3464,0,0,0,1,0
105,3,2,2,7,1,0,1170,2000,219,27,3416,1,0,0,0,0
114,3,1,0,0,1,0,0,2570,150,39,2759,0,0,0,0,1
200,3,3,4,0,1,0,0,7000,425,106,7531,0,0,0,0,1
